date,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity
2019-01-01,7,8,2,3,35,20,55,2919371
2019-01-02,9,11,0,3,42,23,65,962946
2019-01-03,10,11,4,0,50,25,75,3180381
2019-01-04,9,12,2,2,41,25,66,857947
2019-01-05,11,13,4,1,33,29,62,1594983
2019-01-06,5,16,2,1,35,24,59,2187656
2019-01-07,11,7,4,1,56,23,79,2160933
2019-01-08,8,10,5,1,31,24,55,640019
2019-01-09,8,9,4,2,25,23,48,1919488
2019-01-10,9,12,5,3,39,29,68,417519
2019-01-11,9,11,2,2,42,24,66,962916
2019-01-12,6,10,7,0,39,23,62,831713
2019-01-13,7,13,1,1,26,22,48,2106055
2019-01-14,9,6,4,5,31,24,55,1939968
2019-01-15,13,7,3,3,30,26,56,969215
2019-01-16,9,17,7,1,40,34,74,2576373
2019-01-17,6,9,1,0,39,16,55,2027189
2019-01-18,10,8,1,1,38,20,58,2197074
2019-01-19,6,7,4,4,34,21,55,1292026
2019-01-20,10,11,4,2,47,27,74,1437583
2019-01-21,6,9,6,3,38,24,62,325037
2019-01-22,7,12,3,3,38,25,63,1478399
2019-01-23,6,11,0,1,44,18,62,2215859
2019-01-24,7,7,2,0,34,16,50,2704992
2019-01-25,9,7,4,0,34,20,54,1779225
2019-01-26,11,11,4,2,50,28,78,2641480
2019-01-27,7,12,3,0,38,22,60,2413819
2019-01-28,14,16,4,3,43,37,80,1598683
2019-01-29,10,7,3,1,34,21,55,2894444
2019-01-30,7,11,3,2,36,23,59,774136
2019-01-31,7,10,6,2,32,25,57,2146040
2019-02-01,7,8,1,0,45,16,61,2046802
2019-02-02,11,2,4,2,31,19,50,1624503
2019-02-03,7,9,5,2,37,23,60,2338558
2019-02-04,7,10,2,0,37,19,56,1197256
2019-02-05,8,16,2,3,31,29,60,730727
2019-02-06,10,15,4,0,33,29,62,989794
2019-02-07,7,11,2,5,36,25,61,984986
2019-02-08,10,10,3,0,41,23,64,1397436
2019-02-09,5,9,4,0,43,18,61,2145011
2019-02-10,8,10,5,0,45,23,68,2367940
2019-02-11,7,6,2,2,27,17,44,1004195
2019-02-12,10,9,2,2,34,23,57,498458
2019-02-13,7,16,1,1,28,25,53,719351
2019-02-14,11,13,6,2,38,32,70,1047941
2019-02-15,8,12,3,1,43,24,67,1765270
2019-02-16,9,16,4,0,41,29,70,1977761
2019-02-17,7,14,2,3,40,26,66,2048994
2019-02-18,10,15,3,0,47,28,75,1579777
2019-02-19,9,13,6,4,33,32,65,803383
2019-02-20,7,16,5,0,51,28,79,2084474
